Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo110102,Meat and meat products,Carcase meat,,Roast meat with sauce or gravy,g,2,2,2,2,2,2,2,3,2,2,2,2
eo110103,Meat and meat products,Carcase meat,,Pork chops with sauce or gravy,g,0,0,0,1,0,0,0,0,0,0,0,1
eo110104,Meat and meat products,Carcase meat,,Lamb chops with sauce or gravy,g,0,0,0,0,0,0,0,0,0,0,0,0
eo110105,Meat and meat products,Carcase meat,,Spare ribs,g,0,0,0,0,1,0,0,0,1,0,1,0
eo110106,Meat and meat products,Carcase meat,,Bacon,g,2,1,2,2,2,3,2,2,2,2,1,1
eo110107,Meat and meat products,Carcase meat,,Gammon or ham,g,1,1,1,1,1,1,2,2,2,2,2,1
eo110108,Meat and meat products,Carcase meat,,"All offal including liver, kidney, tongue",g,0,0,0,0,0,0,0,0,0,0,0,0
eo1102,Meat and meat products,Poultry,,,g,10,12,10,9,8,10,9,9,10,13,8,12
eo110201,Meat and meat products,Poultry,,Chicken or turkey with sauce or gravy,g,6,6,4,6,6,7,5,6,7,8,5,7
eo110202,Meat and meat products,Poultry,,Chicken or turkey in breadcrumbs or batter,g,4,6,6,3,2,3,3,2,3,4,3,5
eo110203,Meat and meat products,Poultry,,Duck with sauce or gravy,g,0,0,0,0,1,0,0,0,0,1,0,0
eo110204,Meat and meat products,Poultry,,Game with sauce or gravy,g,0,0,0,0,0,0,0,0,0,0,0,0
eo1103,Meat and meat products,Burgers,,,g,29,26,24,17,19,20,17,17,18,17,14,17
eo110301,Meat and meat products,Burgers,,Small or single burgers,g,12,10,9,6,9,8,6,6,6,7,6,7
eo110302,Meat and meat products,Burgers,,Large or double burgers,g,10,10,10,7,7,6,7,8,9,7,4,5
eo110303,Meat and meat products,Burgers,,Chicken burger,g,6,6,6,4,3,5,3,3,3,3,4,5
eo1104,Meat and meat products,Sausages and kebabs,,,g,17,19,18,15,18,15,15,11,16,15,11,12
