Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo1108,Meat and meat products,Other meat and meat products,,,g,1,1,2,2,1,1,1,1,1,2,2,1
eo120,Fish and fish products, ,,,g,12,13,11,15,15,15,9,10,10,15,13,11
eo1201,Fish and fish products,White fish,,,g,8,9,7,9,11,10,6,7,7,9,8,8
eo120101,Fish and fish products,White fish,,"White fish - grilled, steamed, baked or boiled - without sauce",g,1,1,1,2,1,1,1,1,1,0,1,0
eo120102,Fish and fish products,White fish,,White fish - fried (incl in batter/breadcrumbs) - without sauce,g,7,8,6,8,9,9,5,6,6,9,7,7
eo1202,Fish and fish products,Fatty fish,,,g,1,0,1,2,0,0,0,1,0,1,1,1
eo120201,Fish and fish products,Fatty fish,,"Trout, tuna and salmon only - fresh - without sauce or dressing",g,1,0,1,0,0,0,0,1,0,1,1,0
eo120202,Fish and fish products,Fatty fish,,"Other fatty fish - without sauce or dressing e.g. herring, mackerel, sardines",g,0,0,0,1,0,0,0,0,0,0,0,0
eo120301,Fish and fish products,"Shellfish - without sauce or dressing e.g. prawns, shrimps, oysters, crab",,,g,0,1,0,0,1,0,0,0,0,1,0,0
eo120401,Fish and fish products,Kippers and other smoked fish e.g. smoked salmon,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo120501,Fish and fish products,"Other fish products and unspecified 'fish' e.g. squid, sushi, crabsticks",,,g,0,1,0,0,0,0,0,0,0,1,0,1
eo1206,Fish and fish products,Processed fish,,,g,2,2,2,3,3,3,2,2,2,3,4,1
eo120601,Fish and fish products,Processed fish,,"Fish, processed, in breadcrumbs (fish fingers, fish cakes, scampi) - without sauce or dressing",g,2,1,1,2,2,3,1,1,1,2,2,1
eo120602,Fish and fish products,Processed fish,,Fish burgers (in bun),g,0,0,0,0,0,0,0,0,0,0,0,0
eo120603,Fish and fish products,Processed fish,,"Fish based pie or other dish e.g. paella, kedgeree, tuna pasta bake",g,0,1,1,1,1,1,1,1,1,1,2,0
eo130,Cheese and egg dishes or pizza, ,,,g,19,19,31,19,22,20,16,22,21,15,15,17
eo1301,Cheese and egg dishes or pizza,Cheese,,,g,2,3,4,2,3,3,2,2,2,1,1,1
eo130101,Cheese and egg dishes or pizza,Cheese,,Cottage cheese including with pineapple,g,0,0,0,0,0,0,0,0,0,0,0,0
eo130102,Cheese and egg dishes or pizza,Cheese,,"Soft, continental or processed cheese e.g. brie",g,0,0,0,0,0,0,0,0,0,0,0,0
eo130103,Cheese and egg dishes or pizza,Cheese,,"Cheddar, blue or other hard cheese and unspecified 'cheese'",g,0,0,1,1,0,0,0,1,1,0,1,1
eo130104,Cheese and egg dishes or pizza,Cheese,,Quiche and cheese pies or pasties,g,2,2,3,1,2,2,2,1,1,1,1,0
eo130105,Cheese and egg dishes or pizza,Cheese,,"Other cheese dishes e.g. Welsh rarebit, cheese and biscuits",g,0,0,0,0,0,0,0,0,0,0,0,0
eo1302,Cheese and egg dishes or pizza,Pizza,,,g,6,7,11,7,8,8,8,10,10,4,6,9
eo130201,Cheese and egg dishes or pizza,Pizza,,"Pizza - cheese and tomato, vegetable or unspecified 'pizza'",g,4,6,9,6,7,6,6,8,5,3,6,8
eo130202,Cheese and egg dishes or pizza,Pizza,,"Pizza - meat, fish or poultry",g,2,1,1,1,1,2,2,2,5,1,0,1
eo1303,Cheese and egg dishes or pizza,Eggs,,,g,11,9,16,9,11,10,6,10,9,9,8,7
eo130301,Cheese and egg dishes or pizza,Eggs,,Eggs - boiled or poached,g,0,0,0,0,0,0,0,0,0,0,0,0
eo130302,Cheese and egg dishes or pizza,Eggs,,"Eggs - scrambled, fried, omelettes or unspecified 'egg'",g,11,9,16,9,11,10,6,10,9,9,8,7
eo130303,Cheese and egg dishes or pizza,Eggs,,Other egg dishes e.g. egg mayonnaise,g,0,0,0,0,0,0,0,0,0,0,0,0
eo140,Fresh and processed potatoes, ,,,g,99,89,98,94,99,81,65,64,66,78,72,66
eo140101,Fresh and processed potatoes,Chips and french fries - from fast food outlet e.g. McDonalds,,,g,14,10,10,12,8,8,10,7,7,8,11,10
eo140102,Fresh and processed potatoes,Chips - served with meal e.g. from restaurant or chip shop,,,g,56,52,58,56,60,50,36,35,35,46,44,36
eo140103,Fresh and processed potatoes,Potatoes - boiled or unspecified 'potato',,,g,8,7,9,8,10,5,4,4,5,4,4,7
eo140104,Fresh and processed potatoes,Potatoes - mashed,,,g,3,1,3,2,2,2,1,1,1,2,1,2
eo140105,Fresh and processed potatoes,Potatoes - roast,,,g,6,8,6,6,10,7,7,7,9,10,6,6
eo140106,Fresh and processed potatoes,"Sautéed potatoes, potato croquettes, hash browns etc.",,,g,2,2,2,1,1,2,1,2,2,2,1,2
eo140107,Fresh and processed potatoes,Baked or jacket potatoes - without filling,,,g,8,8,7,7,7,7,5,6,5,5,4,4
eo140108,Fresh and processed potatoes,"Other potato dishes (e.g. wedges, potato salad) including unspecified 'potato dish'",,,g,1,2,2,1,1,0,0,2,1,1,0,1
eo150,Vegetables, ,,,g,37,35,35,32,37,30,25,32,35,30,29,28
eo1501,Vegetables,Green vegetables,,,g,5,5,5,4,3,2,2,2,2,4,1,3
eo150101,Vegetables,Green vegetables,,Lettuce and cress,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150102,Vegetables,Green vegetables,,"Other green vegetables e.g. spinach, cabbage, sprouts",g,5,5,4,4,3,1,2,2,2,4,1,3
eo1502,Vegetables,Other fresh vegetables,,,g,17,14,15,16,15,13,9,14,17,14,14,10
eo150201,Vegetables,Other fresh vegetables,,Peppers - raw or cooked,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150202,Vegetables,Other fresh vegetables,,"Courgettes, marrow, aubergine, pumpkin, plantain, cucumbers",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150203,Vegetables,Other fresh vegetables,,Peas and sweetcorn,g,5,6,5,6,5,4,3,5,4,4,3,3
eo150204,Vegetables,Other fresh vegetables,,Baked beans and other beans (not green beans) and pulses,g,9,7,8,8,8,7,5,7,10,8,9,5
eo150205,Vegetables,Other fresh vegetables,,Tomato - fresh or raw,g,1,0,0,0,0,0,0,0,1,0,0,0
eo150206,Vegetables,Other fresh vegetables,,Tomato - cooked or processed,g,1,1,2,2,2,2,1,2,2,1,2,2
eo1503,Vegetables,Root vegetables,,,g,4,4,3,3,4,2,2,3,3,4,1,2
eo150301,Vegetables,Root vegetables,,Carrots,g,3,3,3,2,2,2,1,2,2,3,1,1
eo150302,Vegetables,Root vegetables,,"Onions - raw, cooked or unspecified 'onions'",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150303,Vegetables,Root vegetables,,Onions - fried,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150304,Vegetables,Root vegetables,,"Other root vegetables or tubers e.g. turnip, parsnip, radish, beetroot",g,0,0,0,1,1,1,0,0,1,0,0,0
eo1504,Vegetables,Mushrooms,,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo1505,Vegetables,Other vegetables and vegetable products,,,g,5,5,5,5,9,6,6,6,6,6,5,7
eo150501,Vegetables,Other vegetables and vegetable products,,Mixed vegetables or unspecified 'vegetable',g,4,4,4,4,8,6,5,4,5,5,5,6
eo150502,Vegetables,Other vegetables and vegetable products,,"Other vegetables e.g. artichoke, asparagus",g,0,0,0,0,0,0,0,0,0,0,0,0
